City,Route No.,Number of Lanes,Site ID,Site Type,2016 AADT,2017 AADT,2018 AADT,2016 AADTT,2017 AADTT,2018 AADTT,Latitude,Longitude,Distance (Miles)
West Lafayette,US-52,4,990101,ATR,17974,20110,19786,858,957,1190,40.463333,-86.953395,
Crawfordsville,US-136,2,990103,ATR,2512,2385,2431,193,199,209,40.067917,-86.988239,4.5
Whitestown,I-65,6,990104,ATR,70891,73947,61721,15208,11086,6770,39.968198,-86.379684,
Terre Haute,US-41,4,990105,ATR,20189,19703,20615,2329,2646,2653,39.349027,-87.388379,5
Brazil,SR-42,2,990107,ATR,1892,1835,1829,158,140,137,39.445539,-87.112401,4.7
Brookston,I-65,4,990108,ATR,40049,40874,36591,12099,12832,10323,40.587338,-86.962873,8
Middlebury,SR-120,2,990201,ATR,5136,5508,5597,832,1171,1060,41.725417,-85.711446,3
New Paris,US-6,2,990202,ATR,5821,5570,5928,1208,1249,1296,41.449861,-85.862768,7
Warsaw,SR-15,2,990203,ATR,12589,11869,11859,1494,1977,1757,41.303964,-85.853378,0.2
Fort Wayne,I-69,6,990204,ATR,66267,,,9452,,,41.088897,-85.220864,
New Haven,SR-930,4,990205,ATR,23971,23787,27070,1756,1741,2254,41.069452,-85.058378,
Warren,I-69,4,990206,ATR,29232,29404,29303,8684,8525,8889,40.723054,-85.432618,2.2
Bluffton,SR-124,2,990207,ATR,2180,2189,2024,582,565,435,40.742008,-85.299681,5
Decatur,SR-101,2,990208,ATR,2667,,864,752,,181,40.829729,-84.841787,4
Fort Wayne,I-69,4,990211,ATR,28277,30004,30786,4008,4309,4699,41.176109,-85.103231,
Fort Wayne,I-69,4,990212,ATR,34073,34054,34391,4339,4503,5057,41.17614,-85.103231,
Fort Wayne,I-69,6,990213,ATR,68787,66746,59252,8453,8439,8491,41.132027,-85.148765,
Fort Wayne,I-69,6,990271,ATR,,,54603,,,8507,41.028151,-85.252583,
Fort Wayne,I-69,2,990273,ATR,,,20231,,,3867,41.028185,-85.252589,1.3
Anderson,SR-9,4,990301,ATR,15402,18889,17455,860,1558,794,40.120286,-85.653115,
Anderson,SR-32,2,990302,ATR,9820,9809,9526,512,534,552,40.113484,-85.646336,
Farmland,SR-1,2,990304,ATR,1106,1199,1163,233,250,257,40.176834,-85.127686,0.5
Indianapolis,SR-37,4,990305,ATR,38975,39258,38485,1552,1542,1582,39.876685,-86.047173,
Greenfield,US-40,4,990308,ATR,6193,7098,6706,493,576,552,39.786936,-85.731231,2.5
Indianapolis,US-31,6,990309,ATR,40957,40553,36411,1888,1693,1547,39.686577,-86.148749,1
Indianapolis,I-65,6,990311,ATR,66772,74893,71351,5474,7558,7392,39.835855,-86.239672,
Indianapolis,I-465,8,990312,ATR,125662,129557,132811,13134,15395,16028,39.70383,-86.093976,
Indianapolis,I-70,6,990317,ATR,32285,33693,33672,7829,8691,8659,39.695817,-86.300637,
Indianapolis,I-70,5,990318,ATR,34943,36365,36836,5891,6531,6966,39.695847,-86.300637,
Indianapolis,I-70,6,990319,ATR,39661,40870,41870,6109,6444,6567,39.695818,-86.300637,
Indianapolis,I-465,6,990320,ATR,,,24297,,,914,39.896359,-86.269546,
Indianapolis,I-465,6,990321,ATR,,42709,38988,,1592,1584,39.896359,-86.269246,
Indianapolis,I-70,4,990322,ATR,,,76637,,,9752,39.803067,-86.076654,
Indianapolis,I-70,4,990323,ATR,67522,96500,68370,8367,11775,8687,39.8031,-86.076684,
Indianapolis,I-465,5,990325,ATR,,60402,62548,,4120,4299,39.841758,-86.275893,
Indianapolis,I-465,5,990326,ATR,,60532,58604,,7383,7229,39.841758,-86.27592,
