Location,Day,Date,two-way,positive N E,negative S W
950109,Wed,1/1/2020,22194,11229,10965
950109,Thu,1/2/2020,41742,21441,20301
950109,Fri,1/3/2020,43662,22175,21487
950109,Sat,1/4/2020,30368,15702,14666
950109,Sun,1/5/2020,27321,12866,14455
950109,Mon,1/6/2020,43927,22525,21402
950109,Tue,1/7/2020,46613,23726,22887
950109,Wed,1/8/2020,46446,23954,22492
950109,Thu,1/9/2020,46789,23968,22821
950109,Fri,1/10/2020,45900,23633,22267
950109,Sat,1/11/2020,28844,14838,14006
950109,Sun,1/12/2020,25117,12946,12171
950109,Mon,1/13/2020,44598,22894,21704
950109,Tue,1/14/2020,45914,23592,22322
950109,Wed,1/15/2020,46139,23664,22475
950109,Thu,1/16/2020,47135,24161,22974
950109,Fri,1/17/2020,46650,23967,22683
950109,Sat,1/18/2020,27714,14383,13331
950109,Sun,1/19/2020,22871,11532,11339
950109,Mon,1/20/2020,39338,20243,19095
950109,Tue,1/21/2020,45663,23443,22220
950109,Wed,1/22/2020,46107,23823,22284
950109,Thu,1/23/2020,46643,23935,22708
950109,Fri,1/24/2020,46528,23980,22548
950109,Sat,1/25/2020,30129,15735,14394
950109,Tue,1/28/2020,45464,23181,22283
950109,Wed,1/29/2020,39017,20600,18417
950109,Fri,1/31/2020,48122,24772,23350
950109,Sat,2/1/2020,31654,16409,15245
950109,Sun,2/2/2020,25373,12988,12385
950109,Mon,2/3/2020,44187,22559,21628
950109,Tue,2/4/2020,45070,23084,21986
950109,Wed,2/5/2020,43306,22364,20942
950109,Thu,2/6/2020,43678,22453,21225
950109,Fri,2/7/2020,47253,24253,23000
950109,Sat,2/8/2020,32500,17033,15467
950109,Sun,2/9/2020,24388,12471,11917
950109,Mon,2/10/2020,43415,21582,21833
950109,Tue,2/11/2020,46900,24123,22777
950109,Wed,2/12/2020,44410,22941,21469
950109,Thu,2/13/2020,45026,22988,22038
950109,Fri,2/14/2020,47676,24642,23034
950109,Sat,2/15/2020,33085,17150,15935
950109,Sun,2/16/2020,26959,13521,13438
950109,Mon,2/17/2020,42907,21983,20924
950109,Tue,2/18/2020,46732,23903,22829
950109,Wed,2/19/2020,47305,24176,23129
950109,Thu,2/20/2020,47630,24262,23368
950109,Fri,2/21/2020,48676,25091,23585
950109,Sat,2/22/2020,34113,17786,16327
950109,Sun,2/23/2020,27250,13784,13466
950109,Mon,2/24/2020,43066,21986,21080
950109,Tue,2/25/2020,46079,23588,22491
950109,Wed,2/26/2020,43555,22246,21309
950109,Thu,2/27/2020,47365,24124,23241
950109,Fri,2/28/2020,49205,25165,24040
950109,Sat,2/29/2020,33634,17598,16036
950109,Sun,3/1/2020,27763,14149,13614
950109,Mon,3/2/2020,44135,22552,21583
950109,Tue,3/3/2020,47195,23878,23317
950109,Wed,3/4/2020,47869,24367,23502
950109,Thu,3/5/2020,48872,24902,23970
950109,Fri,3/6/2020,49753,25603,24150
950109,Sat,3/7/2020,33788,17609,16179
950109,Sun,3/8/2020,27759,14135,13624
950109,Mon,3/9/2020,44544,22723,21821
950109,Tue,3/10/2020,46517,23683,22834
950109,Wed,3/11/2020,47334,24466,22868
950109,Thu,3/12/2020,47367,24179,23188
950109,Fri,3/13/2020,45608,23377,22231
950109,Sat,3/14/2020,25622,13279,12343
950109,Sun,3/15/2020,23337,11908,11429
950109,Mon,3/16/2020,38910,19811,19099
950109,Tue,3/17/2020,37815,19280,18535
950109,Wed,3/18/2020,35322,17969,17353
950109,Thu,3/19/2020,33850,17274,16576
950109,Fri,3/20/2020,33535,16830,16705
950109,Sat,3/21/2020,20675,10469,10206
950109,Sun,3/22/2020,15253,7923,7330
950109,Mon,3/23/2020,29536,15169,14367
950109,Tue,3/24/2020,29738,15266,14472
950109,Wed,3/25/2020,26221,13423,12798
950109,Thu,3/26/2020,26070,13285,12785
950109,Sat,3/28/2020,14511,7315,7196
950109,Sun,3/29/2020,12482,6495,5987
950109,Mon,3/30/2020,24929,12832,12097
950109,Tue,3/31/2020,25968,13260,12708
950109,Wed,4/1/2020,26346,13545,12801
950109,Thu,4/2/2020,26112,13262,12850
950109,Fri,4/3/2020,26379,13307,13072
950109,Sat,4/4/2020,15277,7809,7468
950109,Sun,4/5/2020,12917,6718,6199
950109,Mon,4/6/2020,25070,12941,12129
950109,Tue,4/7/2020,26060,13437,12623
950109,Wed,4/8/2020,26599,13638,12961
950436,Wed,1/1/2020,11469,5740,5729
950436,Thu,1/2/2020,18371,9093,9278
950436,Fri,1/3/2020,19800,9636,10164
950436,Sat,1/4/2020,15581,7803,7778
950436,Sun,1/5/2020,13785,6944,6841
950436,Mon,1/6/2020,18161,9092,9069
950436,Tue,1/7/2020,18468,9158,9310
950436,Wed,1/8/2020,18958,9324,9634
950436,Thu,1/9/2020,18872,9260,9612
950436,Fri,1/10/2020,20148,9933,10215
950436,Sat,1/11/2020,13568,6645,6923
950436,Mon,1/13/2020,17962,9043,8919
950436,Tue,1/14/2020,18547,9161,9386
950436,Wed,1/15/2020,18364,9011,9353
950436,Thu,1/16/2020,18936,9280,9656
950436,Fri,1/17/2020,19608,9593,10015
950436,Sat,1/18/2020,12312,6023,6289
950436,Sun,1/19/2020,11415,5650,5765
950436,Mon,1/20/2020,17445,8839,8606
950436,Tue,1/21/2020,18296,9079,9217
950436,Wed,1/22/2020,19055,9542,9513
950436,Thu,1/23/2020,18329,8981,9348
950436,Fri,1/24/2020,19467,9456,10011
950436,Sat,1/25/2020,14557,7161,7396
950436,Tue,1/28/2020,18669,9253,9416
950436,Wed,1/29/2020,18753,9282,9471
950436,Thu,1/30/2020,19020,9148,9872
950436,Fri,1/31/2020,20132,9762,10370
950436,Sat,2/1/2020,15337,7553,7784
950436,Sun,2/2/2020,12667,6377,6290
950436,Mon,2/3/2020,18093,9099,8994
950436,Tue,2/4/2020,18698,9231,9467
950436,Wed,2/5/2020,18044,8733,9311
950436,Thu,2/6/2020,17137,8308,8829
950436,Fri,2/7/2020,20286,9920,10366
950436,Sat,2/8/2020,15383,7573,7810
950436,Sun,2/9/2020,12490,6303,6187
950436,Mon,2/10/2020,17993,9060,8933
950436,Tue,2/11/2020,19390,9599,9791
950436,Wed,2/12/2020,18503,9159,9344
950436,Thu,2/13/2020,16121,7761,8360
950436,Fri,2/14/2020,20041,9505,10536
950436,Sat,2/15/2020,16158,7916,8242
950436,Sun,2/16/2020,14389,7316,7073
950436,Mon,2/17/2020,18469,9281,9188
950436,Tue,2/18/2020,18684,9332,9352
950436,Wed,2/19/2020,19475,9569,9906
950436,Thu,2/20/2020,19300,9410,9890
950436,Fri,2/21/2020,21097,10260,10837
950436,Sat,2/22/2020,17674,8756,8918
950436,Sun,2/23/2020,14340,7173,7167
950436,Mon,2/24/2020,18178,9091,9087
950436,Tue,2/25/2020,17554,8664,8890
950436,Wed,2/26/2020,15466,7628,7838
950436,Thu,2/27/2020,19233,9319,9914
950436,Fri,2/28/2020,22174,10834,11340
950436,Sat,2/29/2020,17449,8595,8854
950436,Sun,3/1/2020,14935,7462,7473
950436,Mon,3/2/2020,18716,9342,9374
950436,Tue,3/3/2020,19410,9522,9888
950436,Wed,3/4/2020,19969,9765,10204
950436,Thu,3/5/2020,20030,9756,10274
950436,Fri,3/6/2020,21289,10377,10912
950436,Sat,3/7/2020,17361,8679,8682
950436,Sun,3/8/2020,15474,7740,7734
950436,Mon,3/9/2020,18327,9263,9064
950436,Tue,3/10/2020,19104,9550,9554
950436,Wed,3/11/2020,19355,9479,9876
950436,Thu,3/12/2020,19762,9623,10139
950436,Fri,3/13/2020,21417,10310,11107
950436,Sat,3/14/2020,14928,7374,7554
950436,Sun,3/15/2020,13097,6485,6612
950436,Mon,3/16/2020,17025,8286,8739
950436,Tue,3/17/2020,17327,8583,8744
950436,Wed,3/18/2020,16420,8130,8290
950436,Thu,3/19/2020,16272,7912,8360
950436,Fri,3/20/2020,16599,8057,8542
950436,Sat,3/21/2020,11817,5760,6057
950436,Sun,3/22/2020,8330,4083,4247
950436,Mon,3/23/2020,14085,7118,6967
950436,Tue,3/24/2020,14929,7393,7536
950436,Wed,3/25/2020,13674,6654,7020
950436,Thu,3/26/2020,13510,6462,7048
950436,Sat,3/28/2020,8616,4212,4404
950436,Sun,3/29/2020,7099,3426,3673
950436,Mon,3/30/2020,13044,6519,6525
950436,Tue,3/31/2020,13872,6764,7108
950436,Wed,4/1/2020,13758,6697,7061
950436,Thu,4/2/2020,13940,6809,7131
950436,Fri,4/3/2020,14638,7234,7404
950436,Sat,4/4/2020,9261,4539,4722
950436,Sun,4/5/2020,7807,3743,4064
950436,Mon,4/6/2020,13242,6622,6620
950436,Tue,4/7/2020,14147,6995,7152
950436,Wed,4/8/2020,14039,6907,7132
950507,Wed,1/1/2020,29721,14080,15641
950507,Thu,1/2/2020,36516,18225,18291
950507,Fri,1/3/2020,41970,20109,21861
950507,Sat,1/4/2020,38901,17407,21494
950507,Sun,1/5/2020,35785,15546,20239
950507,Mon,1/6/2020,31888,16039,15849
950507,Tue,1/7/2020,33298,16781,16517
950507,Wed,1/8/2020,34679,17556,17123
950507,Thu,1/9/2020,35350,18028,17322
950507,Fri,1/10/2020,36503,18940,17563
950507,Sat,1/11/2020,28398,14561,13837
950507,Sun,1/12/2020,28460,13556,14904
950507,Mon,1/13/2020,31693,16449,15244
950507,Tue,1/14/2020,34184,17520,16664
950507,Wed,1/15/2020,34184,17390,16794
950507,Thu,1/16/2020,35989,18355,17634
950507,Fri,1/17/2020,41575,21173,20402
950507,Sat,1/18/2020,27736,14326,13410
950507,Sun,1/19/2020,26528,12916,13612
950507,Mon,1/20/2020,33317,16604,16713
950507,Tue,1/21/2020,32621,16451,16170
950507,Wed,1/22/2020,33471,17065,16406
950507,Thu,1/23/2020,34633,17273,17360
950507,Fri,1/24/2020,37632,19015,18617
950507,Sat,1/25/2020,27344,13780,13564
950507,Tue,1/28/2020,32590,16600,15990
950507,Wed,1/29/2020,33858,17507,16351
950507,Thu,1/30/2020,36515,19063,17452
950507,Fri,1/31/2020,39629,20686,18943
950507,Sat,2/1/2020,29444,14999,14445
950507,Sun,2/2/2020,26432,12565,13867
950507,Mon,2/3/2020,31357,15807,15550
950507,Tue,2/4/2020,32304,16341,15963
950507,Wed,2/5/2020,32958,16756,16202
950507,Thu,2/6/2020,33779,17227,16552
950507,Fri,2/7/2020,37785,19493,18292
950507,Sat,2/8/2020,29385,14823,14562
950507,Sun,2/9/2020,28521,13632,14889
950507,Mon,2/10/2020,31170,15851,15319
950507,Tue,2/11/2020,34760,18091,16669
950507,Wed,2/12/2020,35691,18754,16937
950507,Fri,2/14/2020,42838,22531,20307
950507,Sat,2/15/2020,33888,17001,16887
950507,Sun,2/16/2020,32234,14512,17722
950507,Mon,2/17/2020,35962,17258,18704
950507,Tue,2/18/2020,34317,17140,17177
950507,Thu,2/20/2020,37829,19648,18181
950507,Fri,2/21/2020,41791,21602,20189
950507,Sat,2/22/2020,33202,16653,16549
950507,Sun,2/23/2020,32926,15067,17859
950507,Mon,2/24/2020,31739,15822,15917
950507,Tue,2/25/2020,34054,17161,16893
950507,Wed,2/26/2020,32723,16513,16210
950507,Thu,2/27/2020,38106,19474,18632
950507,Fri,2/28/2020,43660,23358,20302
950507,Sat,2/29/2020,35938,18401,17537
950507,Sun,3/1/2020,35968,15256,20712
950507,Mon,3/2/2020,34099,16264,17835
950507,Tue,3/3/2020,35307,17405,17902
950507,Wed,3/4/2020,36153,18213,17940
950507,Thu,3/5/2020,38765,19940,18825
950507,Fri,3/6/2020,47064,25383,21681
950507,Sat,3/7/2020,37313,18722,18591
950507,Sun,3/8/2020,38300,16084,22216
950507,Mon,3/9/2020,33741,16745,16996
950507,Tue,3/10/2020,35510,17614,17896
950507,Wed,3/11/2020,36579,18391,18188
950507,Thu,3/12/2020,39429,20190,19239
950507,Fri,3/13/2020,45049,23426,21623
950507,Sat,3/14/2020,33350,16615,16735
950507,Sun,3/15/2020,32717,14674,18043
950507,Mon,3/16/2020,34130,16715,17415
950507,Tue,3/17/2020,35976,17232,18744
950507,Thu,3/19/2020,34524,16475,18049
950507,Fri,3/20/2020,36642,17691,18951
950507,Sat,3/21/2020,29267,13033,16234
950507,Sun,3/22/2020,22527,9182,13345
950507,Mon,3/23/2020,27398,12875,14523
950507,Tue,3/24/2020,28221,13661,14560
950507,Wed,3/25/2020,26095,12538,13557
950507,Thu,3/26/2020,26031,12464,13567
950507,Fri,3/27/2020,24997,12169,12828
950507,Sat,3/28/2020,18405,8507,9898
950507,Sun,3/29/2020,16819,7037,9782
950507,Mon,3/30/2020,22319,10818,11501
950507,Tue,3/31/2020,24856,12294,12562
950507,Wed,4/1/2020,24798,12174,12624
950507,Thu,4/2/2020,24183,11508,12675
950507,Fri,4/3/2020,23687,11514,12173
950507,Sat,4/4/2020,17162,8076,9086
950507,Sun,4/5/2020,14785,6508,8277
950507,Mon,4/6/2020,21178,10396,10782
950507,Tue,4/7/2020,22756,11079,11677
950507,Wed,4/8/2020,22933,11196,11737
951000,Wed,1/1/2020,1905,922,983
951000,Thu,1/2/2020,2829,1405,1424
951000,Fri,1/3/2020,3133,1592,1541
951000,Sat,1/4/2020,2384,1191,1193
951000,Sun,1/5/2020,2496,1278,1218
951000,Mon,1/6/2020,2883,1461,1422
951000,Tue,1/7/2020,2797,1463,1334
951000,Wed,1/8/2020,2803,1445,1358
951000,Thu,1/9/2020,2932,1554,1378
951000,Fri,1/10/2020,3257,1636,1621
951000,Sat,1/11/2020,1814,887,927
951000,Sun,1/12/2020,2364,1127,1237
951000,Mon,1/13/2020,2953,1447,1506
951000,Tue,1/14/2020,2846,1440,1406
951000,Wed,1/15/2020,2699,1398,1301
951000,Thu,1/16/2020,2966,1591,1375
951000,Fri,1/17/2020,3156,1628,1528
951000,Sat,1/18/2020,1705,838,867
951000,Sun,1/19/2020,1795,924,871
951000,Mon,1/20/2020,2864,1439,1425
951000,Tue,1/21/2020,2863,1501,1362
951000,Wed,1/22/2020,2617,1372,1245
951000,Thu,1/23/2020,2692,1407,1285
951000,Fri,1/24/2020,3027,1535,1492
951000,Sat,1/25/2020,1897,962,935
951000,Tue,1/28/2020,2923,1515,1408
951000,Wed,1/29/2020,2793,1474,1319
951000,Thu,1/30/2020,2937,1546,1391
951000,Fri,1/31/2020,3343,1779,1564
951000,Sat,2/1/2020,2135,1037,1098
951000,Sun,2/2/2020,2160,1123,1037
951000,Mon,2/3/2020,2844,1439,1405
951000,Tue,2/4/2020,2944,1488,1456
951000,Wed,2/5/2020,2668,1411,1257
951000,Thu,2/6/2020,2492,1336,1156
951000,Fri,2/7/2020,3214,1716,1498
951000,Sat,2/8/2020,2154,1066,1088
951000,Sun,2/9/2020,2013,1021,992
951000,Mon,2/10/2020,2859,1428,1431
951000,Wed,2/12/2020,2712,1370,1342
951000,Thu,2/13/2020,2586,1360,1226
951000,Fri,2/14/2020,3318,1750,1568
951000,Sat,2/15/2020,2127,1057,1070
951000,Sun,2/16/2020,2282,1093,1189
951000,Mon,2/17/2020,3129,1584,1545
951000,Tue,2/18/2020,2971,1473,1498
951000,Wed,2/19/2020,2859,1478,1381
951000,Thu,2/20/2020,3065,1601,1464
951000,Fri,2/21/2020,3542,1841,1701
951000,Sat,2/22/2020,2439,1219,1220
951000,Sun,2/23/2020,2610,1347,1263
951000,Mon,2/24/2020,2846,1446,1400
951000,Tue,2/25/2020,2990,1537,1453
951000,Wed,2/26/2020,2509,1346,1163
951000,Thu,2/27/2020,3204,1731,1473
951000,Fri,2/28/2020,3829,2018,1811
951000,Sat,2/29/2020,2484,1253,1231
951000,Sun,3/1/2020,2662,1339,1323
951000,Mon,3/2/2020,2969,1553,1416
951000,Tue,3/3/2020,3290,1700,1590
951000,Wed,3/4/2020,3202,1646,1556
951000,Thu,3/5/2020,3500,1837,1663
951000,Fri,3/6/2020,4055,2129,1926
